plot_id,tree_id,species,ba
TKW_1,TKW_1_1,Combretum apiculatum,0.002463009
TKW_1,TKW_1_10,Lannea schweinfurthii,0.028952918
TKW_1,TKW_1_100,Aganope stuhlmannii,0.036983614
TKW_1,TKW_1_101,Aganope stuhlmannii,0.019855651
TKW_1,TKW_1_102,Combretum apiculatum,0.05599025
TKW_1,TKW_1_103,Combretum apiculatum,0.024279799
TKW_1,TKW_1_104,Burkea africana,0.084496276
TKW_1,TKW_1_105,Margaritaria discoidea,0.004417865
TKW_1,TKW_1_106,Aganope stuhlmannii,0.051070516
TKW_1,TKW_1_108,Aganope stuhlmannii,0.124410211
TKW_1,TKW_1_11,Combretum apiculatum,0.005944679
TKW_1,TKW_1_110,Burkea africana,0.128824934
TKW_1,TKW_1_111,Combretum apiculatum,0.025999821
TKW_1,TKW_1_112,Senegalia polyacantha,0.020358306
TKW_1,TKW_1_113,Aganope stuhlmannii,0.231573863
TKW_1,TKW_1_116,Combretum apiculatum,0.043373614
TKW_1,TKW_1_117,Diplorhynchus condylocarpon,0.069588633
TKW_1,TKW_1_118,Margaritaria discoidea,0.007238229
TKW_1,TKW_1_119,Margaritaria discoidea,0.005410608
TKW_1,TKW_1_12,Diplorhynchus condylocarpon,0.047190649
TKW_1,TKW_1_121,Combretum apiculatum,0.042243426
TKW_1,TKW_1_122,Combretum apiculatum,0.105964349
TKW_1,TKW_1_123,Combretum apiculatum,0.005281017
TKW_1,TKW_1_124,Combretum apiculatum,0.004778362
TKW_1,TKW_1_125,Combretum apiculatum,0.062871908
TKW_1,TKW_1_13,Combretum apiculatum,0.026015529
TKW_1,TKW_1_130,Bridelia scleroneura,0.015614501
TKW_1,TKW_1_132,Combretum apiculatum,0.014741138
TKW_1,TKW_1_134,Diplorhynchus condylocarpon,0.067600791
TKW_1,TKW_1_135,Combretum apiculatum,0.015614501
TKW_1,TKW_1_136,Combretum apiculatum,0.013069811
TKW_1,TKW_1_137,Pseudolachnostylis maprouneifolia,0.093482016
TKW_1,TKW_1_139,Julbernardia paniculata,0.3848451
TKW_1,TKW_1_14,Aganope stuhlmannii,0.016512996
TKW_1,TKW_1_140,Combretum apiculatum,0.005944679
TKW_1,TKW_1_141,Julbernardia globiflora,0.237582944
TKW_1,TKW_1_143,Aganope stuhlmannii,0.010935884
TKW_1,TKW_1_144,Aganope stuhlmannii,0.005026548
TKW_1,TKW_1_145,Julbernardia globiflora,0.159043128
TKW_1,TKW_1_148,Aganope stuhlmannii,0.021124069
TKW_1,TKW_1_149,Margaritaria discoidea,0.002123717
TKW_1,TKW_1_15,Aganope stuhlmannii,0.064692461
TKW_1,TKW_1_150,Pseudolachnostylis maprouneifolia,0.111627856
TKW_1,TKW_1_151,Julbernardia globiflora,0.201090204
TKW_1,TKW_1_152,Croton dichogamus,0.003421194
TKW_1,TKW_1_153,Senegalia polyacantha,0.003117245
TKW_1,TKW_1_154,Combretum apiculatum,0.003631681
TKW_1,TKW_1_155,Diplorhynchus condylocarpon,0.006503882
TKW_1,TKW_1_156,Aganope stuhlmannii,0.006792909
TKW_1,TKW_1_157,Combretum apiculatum,0.038290517
TKW_1,TKW_1_159,Aganope stuhlmannii,0.00664761
TKW_1,TKW_1_16,Combretum apiculatum,0.031730871
TKW_1,TKW_1_160,Combretum apiculatum,0.002827433
TKW_1,TKW_1_161,Aganope stuhlmannii,0.015836769
TKW_1,TKW_1_162,Combretum apiculatum,0.003631681
TKW_1,TKW_1_163,Margaritaria discoidea,0.005152997
TKW_1,TKW_1_164,Margaritaria discoidea,0.005674502
TKW_1,TKW_1_165,Margaritaria discoidea,0.003019071
TKW_1,TKW_1_167,Combretum apiculatum,0.045378735
TKW_1,TKW_1_169,Combretum apiculatum,0.049087385
TKW_1,TKW_1_17,Combretum apiculatum,0.042836401
TKW_1,TKW_1_170,Diplorhynchus condylocarpon,0.002375829
TKW_1,TKW_1_171,Julbernardia globiflora,0.195564928
TKW_1,TKW_1_173,Markhamia obtusifolia,0.003318307
TKW_1,TKW_1_174,Markhamia obtusifolia,0.002206183
TKW_1,TKW_1_177,Multidentia crassa,0.005152997
TKW_1,TKW_1_178,Aganope stuhlmannii,0.061136178
TKW_1,TKW_1_179,Combretum apiculatum,0.004185387
TKW_1,TKW_1_18,Combretum apiculatum,0.064174099
TKW_1,TKW_1_180,Senegalia goetzei,0.002042821
